code,aptName,locationDesc,youWant,studioLow,studioHigh,oneBedLow,oneBedHigh,twoBedLow,twoBedHigh,threeBedLow,threeBedHigh,fourBedLow,fourBedHigh,numOfBeds,utilities,wifi,ac,laundry,parking,parkingInfo,pets,secureAccess,fitnessCenter,amenities,distance,walk,managementCompany,management,maintenance,pests,totalRating,problems,reviews,address,websiteLink,floorplanLink,image
ART,Artisan Alley,Artisan Alley Apartments is located next to the Common House Richmond on 323 W Broad St.,you like renovated apartments with historic features.,,,"$1,000",,"$1,400","$1,600","$2,100",,,,1 - 3,no electric,yes,yes,in-unit,yes,separate fee,not allowed,yes,,,0.6,11,University Property,good,good,good,good,Thin walls,,323 W Broad St,https://www.university-property.com/artisan-alley-apartments,https://www.university-property.com/artisan-alley-apartments," https://static.wixstatic.com/media/c5b0c2_16351364c68d43c194755fa541ddb62d~mv2.jpg/v1/fill/w_1000,h_435,al_c,q_85,enc_auto/c5b0c2_16351364c68d43c194755fa541ddb62d~mv2.jpg"
ASC,Ascend,Ascend is located just off of VCU campus near Lowes.,you like to have the most amenities.,"$1,450",,"$1,655","$1,685","$1,115","$1,135",,,$920,$965,"studio, 1, 2,  or 4",no electric,yes,yes,in-unit,yes,garage,fee & pet rent,yes,yes,"[pre-furnished rooms, rooftop pool, lounges]",0.6,13,Coastal Ridge,good,good,good,good,Security issues,4.9,1600 W Broad St,https://ascendrichmond.com/?utm_medium=organic&utm_source=google&utm_campaign=gmb-website-button,https://ascendrichmond.com/pricing-navigation#k=22874,https://ascendrichmond.com/photos
BER,The Berkshire,"The Berkshire is located 3 blocks down Franklin Street from Belvedere street, which would be across the street from Monroe Park.",you want the cheapest price.,$784,"$1,049",$909,"$1,579","$1,494","$1,767","$2,079","$2,222",,,studio - 3,included,bad,unreliable,"facility, gross and stolen clothes",yes,"garage, $95/month",yes,yes,yes,"balconies, spacious apartments",0.4,8,"Thalhimer
Cushman & Wakefield",bad,bad,bad,bad,"Broken windows, stolen packages, mold, management offer gift cards for good reviews, roaches and mice, general uncleanliness of building","2.6, 3.1",300 W Franklin St,https://www.berkshirerva.com/the-berkshire-richmond-va,https://www.berkshirerva.com/the-berkshire-richmond-va/floorplans,https://www.berkshirerva.com/the-berkshire-richmond-va/amenities
BIG,Biggs Building,The Biggs Building Apartments is one block away from the School of the Arts Building.,,,,$899,,"$1,175",,,,,,studio - 2,no electric,yes,yes,in-unit,yes,yes,fee & pet rent,yes,yes,,0.5,11,Downtown Rentals RVA,bad,mid,bad,bad,"Thin walls, problems with bugs, charge additional fees to residents, ",,900 W Marshall St,https://www.downtownrentalsrva.com/downtown-rentals-rva-richmond-va/,studio one bed two bed,https://www.downtownrentalsrva.com/downtown-rentals-rva-richmond-va/gallery#panel-1
CAN,8 &#189; Canal Street,8 1/2 Canal Street is located about 3 Blocks from the VCU College of Engineering East Hall.,you want a pre-furnished apartment.,,,"$1,449",,$959,$969,$874,$884,$809,$854,1 - 4,electricity up to a monthly allowance,bad,yes,in-unit,yes,yes,no,no?,yes,pre-furnished,0.7,13,American Campus Communities,bad,mid,good,mid,"Rent too high for what you get, internet inconsistent, small rooms, thin walls, mold",,"8 1/2 W Canal St, Richmond, VA 23220",https://www.americancampus.com/student-apartments/va/richmond/8-1-2-canal-street,https://www.americancampus.com/student-apartments/va/richmond/8-1-2-canal-street#floor-plans,https://www.americancampus.com/student-apartments/va/richmond/8-1-2-canal-street#gallery
CAR,Cary Belvidere Apartments,Cary Belvidere Apartments is located across the street from the Engineering West Hall and one block from Monroe Park.,,"$1,075",,"$1,225",,"$1,735",,,,,,studio - 2,included,yes,yes,in-unit,yes,"yes, $75/month",no,yes,no,,0.4,9,Family Business,good,good,good,good,,,601 W Cary St,https://offcampus.vcu.edu/housing/property/cary-belvidere-apartments-in-unit-laundry-all-utilities-included/ocpmq66nwj,https://www.apartments.com/cary-belvidere-apts-phase-two-richmond-va/1q95w46/,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4Fe8HpsV3h5a-4mscBX-8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.87413&pitch=0&thumbfov=100
CHE,Chesterfield Apartments,The Chesterfield Apartments are located above the Virginia Book Company and Mochinut.,you want an apartment with an incredible location.,,,$800,,,,,,,,1 - 3,?,yes ,yes,?,?,info not found,no,yes,no,,0.1,2,Landmark Lifestyle Apartments,bad,bad,mid,bad,"Gross building, problems with bugs, no heat, AC breaks regularly, broken elevators, no hot water",,900 W Franklin St,https://www.landmarkpm.co/chesterfield-apartments,https://www.landmarkpm.co/chesterfield-apartments,https://lirp.cdn-website.com/44a39818/dms3rep/multi/opt/images-5ed91099cd87f4502800004d-5ed91102cd87f4502800013a-1920w.jpeg
CIR,Circ Apartments,"Circ Apartments is located on 1137 W Grace St, right next to St John's United Church.",,,,"$1,498","$2,477","$2,046","$2,840",,,,,1 - 2,?,bad,yes,in-unit,yes,"garage, $125/month, door often broken",fee,yes,yes,"outdoor terraces, balconies, car charging station",0.5,11,PRG Real Estate Management,mid,good,good,good,"Thin walls, garage door breaks sometimes, too expensive for given ammenities",,1205 W Franklin St,https://www.lifeatcirc.com/,https://www.lifeatcirc.com/floorplans,https://www.lifeatcirc.com/gallery
COL,Coliseum Lofts,"The Coliseum Lofts is located on 1359 W Broad St, and offers a myriad of little stores and restaurants in the near by areas.",,$890,$930,$990,"$1,150","$1,340","$1,617","$2,095",,,,studio - 3,included,yes,yes,"laundry facility, have to pay",yes,"garage, separate fee",fee,,,,0.6,11,Dodson Property Management,mid,good,mid,mid,"Some units don't have windows, problems with security, broken washing machines","3.7, 3.8, mostly +",1359 W Broad St,https://www.coliseumloftsrva.com/,https://7897641.onlineleasing.realpage.com/#k=87109,https://lh5.googleusercontent.com/p/AF1QipPLAg3-sHerBen2ZtixPHeyuZdCa8_oAjsIxG0x=w408-h306-k-no
COR,Cornish Brewery Apartments,Cornish Brewery Apartments is located one block from the Siegel Center and Broad Street.,,"$1,400",,$945,"$1,325","$1,725","$1,800",,,,,1 - 2,included,yes,yes,in-unit,yes,"surface lot, $50/month ",fee,yes,no,package receiving,0.5,11,University Property,good,good,good,good,,,1201 W Clay St,https://www.university-property.com/cornish-brewery-apartments,https://www.university-property.com/cornish-brewery-apartments,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uPMf7qe_ex1L8H35lEuXzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.3348&pitch=0&thumbfov=100
